word_1,word_2,CommaOrPeriod,gap
 here, today,False,0.0
 today, to,False,1.5200000000000387
 to, dramatize,False,0.0
 dramatize, a,False,0.0
 a, shameful,False,0.0
 shameful, condition.,False,0.0
 condition., In,True,1.5600000000000023
 In, a,False,0.0
 a," sense,",False,0.0
" sense,", we've,True,0.060000000000002274
 we've, come,False,0.0
 come, to,False,0.0
 to, our,False,0.0
 our, nation's,False,0.0
 nation's, capital,False,0.0
 capital, to,False,0.0
 to, cash,False,0.0
 cash, a,False,0.0
 a, check.,False,0.0
 check., to,True,0.0800000000000125
 to, cash,False,0.0
 cash, a,False,0.0
 a, check.,False,0.0
 check., To,True,0.0
 To, cash,False,0.0
 cash, a,False,0.0
 a, check.,False,0.0
 check., When,True,0.0
 When, the,False,0.0
 the, architects,False,0.0
 architects, of,False,0.0
 of, our,False,0.0
 our, republic,False,0.0
 republic, wrote,False,1.2399999999999807
 wrote, the,False,0.0
 the, magnificent,False,0.0
 magnificent, words,False,0.0
 words, of,False,0.0
 of, the,False,0.0
 the, Constitution,False,0.0
 Constitution, and,False,0.0
 and, the,False,0.0
 the, Declaration,False,0.0
 Declaration, of,False,0.0
 of," Independence,",False,0.0
" Independence,", they,True,1.4599999999999795
 they, were,False,0.0
 were, signing,False,0.0
 signing, a,False,0.0
 a, promissory,False,0.0
 promissory, note,False,0.0
 note, to,False,0.8600000000000136
 to, which,False,0.0
 which, every,False,0.0
 every, American,False,0.0
 American, was,False,0.0
 was, to,False,0.0
 to, fall,False,0.0
 fall, heir.,False,0.0
 heir., This,True,1.4399999999999977
 This, note,False,0.0
 note, was,False,0.0
 was, a,False,0.0
 a, promise,False,0.0
 promise, that,False,0.0
 that, all,False,0.0
 all," men,",False,0.0
" men,"," yes,",True,1.3599999999999852
" yes,", black,True,0.0
 black, men,False,0.0
 men, as,False,0.0
 as, well,False,0.0
 well, as,False,0.0
 as, white,False,0.0
 white," men,",False,0.0
" men,", would,True,0.7800000000000011
 would, be,False,0.0
 be, gathered,False,0.0
 gathered, together,False,0.0
 together, in,False,0.0
 in, the,False,0.0
 the, same,False,0.0
 same, place.,False,0.0
 place., would,True,0.0
 be, gathered,False,0.0
 gathered, together,False,0.0
 together, in,False,0.0
 in, the,False,0.0
 the, same,False,0.0
 same, place.,False,0.0
 place., the,True,0.0
 the, United,False,0.0
 United, States,False,0.0
 States, guaranteed,False,0.0
 guaranteed, the,False,0.0
 the, unalienable,False,0.0
 unalienable, rights,False,0.0
 rights, of,False,0.0
 of," life,",False,0.0
" life,"," liberty,",True,0.0800000000000125
" liberty,", and,True,1.0999999999999943
 and, the,False,0.0
 the, pursuit,False,0.0
 pursuit, of,False,0.0
 of, happiness.,False,0.0
 happiness., and,True,1.2199999999999989
 and, the,False,0.0
 the, pursuit,False,0.0
 pursuit, of,False,0.0
 of, happiness.,False,0.0
 happiness., It,True,0.0
 It, is,False,0.0
 is, obvious,False,0.0
 obvious, today,False,0.0
 today, that,False,1.0200000000000102
 that, America,False,0.0
 America, has,False,0.0
 has, defaulted,False,0.0
 defaulted, on,False,0.0
 on, this,False,0.0
 this, promissory,False,0.0
 promissory, note,False,0.0
 note, insofar,False,0.0
 insofar, as,False,0.0
 as, her,False,0.0
 her, citizens,False,0.0
 citizens, of,False,0.0
 of, color,False,0.0
 color, are,False,0.0
 are, concerned.,False,0.0
 concerned., Instead,True,1.0
 Instead, of,False,0.0
 of, honoring,False,0.0
 honoring, this,False,0.0
 this, sacred,False,0.0
 sacred," obligation,",False,0.0
" obligation,", America,True,1.6200000000000045
 America, has,False,0.0
 has, given,False,0.0
 given, the,False,0.0
 the, Negro,False,0.0
 Negro, people,False,0.0
 people, a,False,0.0
 a, bad,False,0.0
 bad, check.,False,0.0
 check., A,True,0.0
 A, check,False,0.0
 check, which,False,0.0
 which, has,False,0.0
 has, come,False,0.0
 come, back,False,0.0
 back, marked,False,0.0
 marked, insufficient,False,0.0
 insufficient, funds.,False,0.0
 funds., But,True,11.899999999999977
 But, we,False,0.0
 we, refuse,False,0.0
 refuse, to,False,0.0
 to, believe,False,0.0
 believe, that,False,0.0
 that, the,False,0.0
 the, bank,False,0.0
 bank, of,False,0.0
 of, justice,False,0.0
 justice, is,False,0.0
 is, bankrupt.,False,0.0
 bankrupt., bankrupt.,True,0.5
 bankrupt., We,True,2.3799999999999955
 We, refuse,False,0.0
 refuse, to,False,0.0
 to, believe,False,0.0
 believe, that,False,0.0
 that, there,False,0.0
 there, are,False,0.0
 are, insufficient,False,0.0
 insufficient, funds,False,0.0
 funds, in,False,0.37999999999999545
 in, the,False,0.0
 the, great,False,0.0
 great, vaults,False,0.0
 vaults, of,False,0.0
 of, God's,False,0.0
 God's," kingdom,",False,0.0
" kingdom,", of,True,0.0
 of, opportunity,False,0.0
 of, this,False,0.0
 this, nation.,False,0.0
 nation., And,True,0.20000000000001705
 And, so,False,0.0
 so, we've,False,0.0
 we've, come,False,0.0
 come, to,False,0.0
 to, cash,False,0.0
 cash, this,False,0.0
 this," check,",False,0.0
" check,", a,True,0.13999999999998636
 a, check,False,0.0
 check, that,False,0.0
 that, will,False,0.0
 will, give,False,0.0
 give, us,False,0.0
 us, upon,False,0.0
 upon, demand,False,0.0
 demand, the,False,0.0
 the, riches,False,0.0
 riches, of,False,0.0
 of, freedom,False,0.0
 freedom, and,False,0.0
 and, the,False,0.0
 the, security,False,0.0
 security, of,False,0.0
 of, justice.,False,0.0
 justice., Yes!,True,0.37999999999999545
 Yes!, We,True,8.740000000000066
 We, have,False,0.0
 have, also,False,0.0
 also, come,False,0.0
 come, to,False,0.0
 to, this,False,0.0
 this, hallowed,False,0.0
 hallowed, spot,False,0.0
 spot, to,False,1.259999999999991
 to, remind,False,0.0
 remind, America,False,0.0
 America, of,False,0.0
 of, the,False,0.0
 the, fierce,False,0.0
 fierce, urgency,False,0.0
 urgency, of,False,0.0
 of, now.,False,0.0
 now., This,True,1.8199999999999932
 This, is,False,0.0
 is, no,False,0.0
 no, time,False,0.0
 time, to,False,0.0
 to, engage,False,0.0
 engage, in,False,0.0
 in, the,False,0.0
 the, luxury,False,0.0
 luxury, of,False,0.0
 of, cooling,False,0.0
 cooling, off,False,0.0
 off, or,False,0.0
 or, to,False,0.0
 to, take,False,0.0
 take, the,False,0.0
 the, tranquilizing,False,0.0
 tranquilizing, drug,False,0.0
 drug, of,False,0.0
 of, gradualism.,False,0.0
 gradualism., Now,True,5.420000000000016
 Now, is,False,0.0
 is, the,False,0.0
 the, time,False,0.0
 time, to,False,0.8999999999999773
 to, make,False,0.0
 make, real,False,0.0
 real, the,False,0.0
 the, promises,False,0.0
 promises, of,False,0.0
 of, democracy.,False,0.0
 democracy., Now,True,1.5199999999999818
 Now, is,False,0.0
 is, the,False,0.0
 the, time,False,0.0
 time, to,False,0.0
 to, rise,False,0.0
 rise, from,False,0.0
 from, the,False,0.0
 the, dark,False,0.0
 dark, and,False,0.0
 and, desolate,False,0.0
 desolate, valley,False,0.0
 valley, of,False,0.0
 of, segregation,False,0.0
 to, the,False,0.0
 the, sunlit,False,0.0
 sunlit, path,False,0.0
 path, of,False,0.0
 of, racial,False,0.0
 racial, justice.,False,0.0
 justice., Now,True,0.3199999999999932
 Now, is,False,0.0
 is, the,False,0.0
 the, time,False,0.0
 time, to,False,0.0
 to, lift,False,0.0
 lift, our,False,0.0
 our, nation,False,0.0
 nation, from,False,0.0
 from, the,False,0.0
 the, quicksands,False,0.0
 quicksands, of,False,0.0
 of, racial,False,0.0
 racial, injustice,False,0.0
 injustice, to,False,0.0
 to, the,False,0.0
 the, solid,False,0.0
 solid, rock,False,0.0
 rock, of,False,0.0
 of, brotherhood.,False,0.0
 brotherhood., Now,True,0.060000000000002274
 Now, is,False,0.0
 is, the,False,0.0
 the, time,False,0.0
 time, to,False,2.180000000000007
 to, make,False,0.0
 make, justice,False,0.0
 justice, a,False,0.0
 a, reality,False,0.0
 reality, for,False,0.0
 for, all,False,0.0
 all, of,False,0.0
 of, God's,False,0.0
 God's, children.,False,0.0
 children., It,True,1.0599999999999454
 It, would,False,0.0
 would, be,False,0.0
 be, fatal,False,0.0
 fatal, for,False,0.0
 for, the,False,0.0
 the, nation,False,0.0
 nation, to,False,0.839999999999975
 to, overlook,False,0.0
 overlook, the,False,0.0
 the, urgency,False,0.0
 urgency, of,False,0.0
 of, the,False,0.0
 the, moment.,False,0.0
 moment., This,True,1.8999999999999773
 This, sweltering,False,0.0
 sweltering, summit,False,0.0
 summit, of,False,0.0
 of, the,False,0.0
 the, Negroes',False,0.0
 Negroes', legitimate,False,0.0
 legitimate, discontent,False,0.0
 discontent, will,False,0.0
 will, not,False,0.0
 not, pass,False,0.0
 pass, until,False,0.0
 until, there,False,0.0
 there, is,False,0.0
 is, an,False,0.0
 an, invigorating,False,0.0
 invigorating, autumn,False,0.0
 autumn, of,False,0.0
 of, freedom,False,0.0
 freedom, and,False,0.0
 and, equality.,False,0.0
 equality., 1963,True,2.1199999999999477
 1963, is,False,0.0
 is, not,False,0.0
 not, an,False,0.0
 an," end,",False,0.0
" end,", but,True,0.08000000000004093
 but, a,False,0.0
 a, beginning.,False,0.0
 beginning., Those,True,0.6999999999999886
 Those, who,False,0.0
 who, hoped,False,0.0
 hoped, that,False,0.0
 that, the,False,0.0
 the, Negro,False,0.0
 Negro, needed,False,0.0
 needed, to,False,0.0
 to, blow,False,0.0
 blow, off,False,0.0
 off, steam,False,0.15999999999996817
 steam, and,False,0.0
 and, will,False,0.0
 will, now,False,0.0
 now, be,False,0.0
 be, content,False,0.0
 content, will,False,0.0
 will, have,False,0.0
 have, a,False,0.0
 a, rude,False,0.0
 rude, awakening,False,0.0
 awakening, if,False,0.0
 if, the,False,0.0
 the, nation,False,0.0
 returns, to,False,0.0
 to, business,False,0.0
 business, as,False,0.0
 as, usual.,False,0.0
 usual., There,True,14.080000000000041
 There, will,False,0.0
 will, be,False,0.0
 be, neither,False,0.0
 neither, rest,False,0.0
 rest, nor,False,0.0
 nor, tranquility,False,0.0
 tranquility, in,False,0.0
 in, America,False,0.0
 America, until,False,0.0
 until, the,False,0.0
 the, Negroes',False,0.0
 Negroes', and,False,0.060000000000002274
 and, the,False,0.0
 the, Negroes',False,0.0
 Negroes', civil,False,0.0
 civil, rights,False,0.0
 rights, are,False,0.0
 are, granted.,False,0.0
 granted., The,True,0.0999999999999659
 The, world,False,0.0
 world, wins.,False,0.0
 wins., The,True,0.19999999999998863
 The, revolt,False,0.0
 revolt, will,False,0.0
 will, continue,False,0.0
 continue, to,False,0.0
 to, shake,False,0.0
 shake, the,False,0.0
 the, foundations,False,0.0
 foundations, of,False,0.0
 of, our,False,0.0
 our, nation,False,0.0
 nation, until,False,0.6000000000000227
 until, the,False,0.0
 the, bright,False,0.0
 bright, day,False,0.0
 day, of,False,0.0
 of, justice,False,0.0
 justice, emerges.,False,0.0
 emerges., But,True,1.0199999999999818
 But, that,False,0.0
 that, is,False,0.0
 is, something,False,0.0
 something, that,False,0.0
 that, I,False,0.0
 I, must,False,0.0
 must, say,False,0.0
 say, to,False,0.0
 to, my,False,0.0
 my, people,False,0.0
 people, who,False,0.839999999999975
 who, stand,False,0.0
 stand, on,False,0.0
 on, the,False,0.0
 the, warm,False,0.0
 warm, threshold,False,0.0
 threshold, which,False,0.0
 which, leads,False,0.0
 leads, them,False,0.0
 them, to,False,0.0
 to, the,False,0.0
 the, palace,False,0.0
 palace, of,False,0.0
 of, justice.,False,0.0
 justice., In,True,1.5400000000000205
 In, the,False,0.0
 the, process,False,0.0
 process, of,False,0.0
 of, gaining,False,0.0
 gaining, our,False,0.0
 our, rightful,False,0.0
 rightful," place,",False,0.0
" place,", we,True,1.1399999999999864
 we, must,False,0.0
 must, not,False,0.0
 not, be,False,0.0
 be, guilty,False,0.0
 guilty, of,False,0.0
 of, wrongful,False,0.0
 wrongful, deeds.,False,0.0
 deeds., Let,True,0.7199999999999704
 Let, us,False,0.0
 us, not,False,0.0
 not, seek,False,0.0
 seek, to,False,0.0
 to, satisfy,False,0.0
 satisfy, our,False,0.0
 our, thirst,False,0.0
 thirst, for,False,0.0
 for, freedom,False,0.0
 freedom, by,False,0.0
 drinking, from,False,0.0
 from, the,False,0.0
 the, cup,False,0.0
 cup, of,False,0.0
 of, bitterness,False,0.0
 bitterness, and,False,0.0
 and, hatred.,False,0.0
 hatred., We,True,9.300000000000011
 We, must,False,0.0
 must, never,False,0.0
 never, conduct,False,0.0
 conduct, our,False,0.0
 our, struggle,False,0.0
 struggle, on,False,0.0
 on, the,False,0.0
 the, high,False,0.0
 high, train,False,0.0
 train, in,False,0.0
 in, the,False,0.0
 the, big,False,0.0
 big, city,False,0.0
 city, in,False,0.0
 in, Disneyland.,False,0.0
 Disneyland., We,True,0.7599999999999909
 We, must,False,0.0
 must, not,False,0.0
 not, allow,False,0.0
 allow, our,False,0.0
 our, creative,False,0.0
 creative, protest,False,0.0
 protest, to,False,0.0
 to, degenerate,False,0.0
 degenerate, into,False,0.0
 into, physical,False,0.0
 physical, violence.,False,0.0
 violence., Again,True,0.36000000000001364
 Again, and,False,0.0
 and," again,",False,0.0
" again,", we,True,1.019999999999925
 we, must,False,0.0
 must, rise,False,0.0
 rise, to,False,0.0
 to, the,False,0.0
 the, majestic,False,0.0
 majestic, heights,False,0.0
 heights, of,False,0.0
 of, meeting,False,0.0
 meeting, physical,False,0.0
 physical, force,False,0.0
 force, with,False,0.0
 with, soul,False,0.0
 soul, force.,False,0.0
 force., The,True,0.6000000000000227
 The, marvelous,False,0.0
 marvelous, new,False,0.0
 new, militancy,False,0.0
 militancy, which,False,0.7600000000000477
 which, has,False,0.0
 has, engulfed,False,0.0
 engulfed, the,False,0.0
 the, Negro,False,0.0
 Negro, community,False,0.0
 community, must,False,0.8799999999999955
 must, not,False,0.0
 not, lead,False,0.0
 lead, us,False,0.0
 us, to,False,0.0
 to, a,False,0.0
 a, distrust,False,0.0
 distrust, of,False,0.0
 of, all,False,0.0
 all, white,False,0.0
 white, people.,False,0.0
 people., For,True,0.17999999999994998
 For, many,False,0.0
 many, of,False,0.0
 of, our,False,0.0
 our, white,False,0.0
 white," brothers,",False,0.0
" brothers,", as,True,0.1199999999999477
 as, evidenced,False,0.0
 evidenced, by,False,0.0
 by, their,False,0.0
 their, presence,False,0.0
 presence, here,False,0.0
 here," today,",False,0.0
" today,", have,True,0.23999999999995225
 have, come,False,0.0
 come, to,False,0.0
 to, realize,False,0.0
 realize, that,False,0.0
 that, the,False,0.0
 the, rightful,False,0.0
 rightful, existence,False,0.0
 existence, of,False,0.0
 of, the,False,0.0
 the, Negro,False,0.0
 Negro, community,False,0.0
 community, is,False,0.0
 is, a,False,0.0
 a, dance,False,0.0
 dance, activity,False,0.0
 activity, of,False,0.0
 of, the,False,0.0
 the, white,False,0.0
 white, people.,False,0.0
 They, have,False,0.0
 have, come,False,0.0
 come, to,False,0.0
 to, realize,False,0.0
 realize, that,False,0.0
 that, their,False,0.0
 their, freedom,False,0.0
 freedom, is,False,0.0
 is, inextricably,False,0.0
 inextricably, bound,False,0.0
 bound, to,False,0.0
 to, our,False,0.0
 our, freedom.,False,0.0
 freedom., We,True,0.2799999999999727
 We, cannot,False,0.0
 cannot, walk,False,0.0
 walk, alone.,False,0.0
 alone., As,True,0.7400000000000091
 As, we,False,0.0
 we," walk,",False,0.0
" walk,", we,True,0.9399999999999409
 we, must,False,0.0
 must, make,False,0.0
 make, the,False,0.0
 the, pledge,False,0.0
 pledge, that,False,0.0
 that, we,False,0.0
 we, shall,False,0.0
 shall, always,False,0.0
 always, march,False,0.0
 march, ahead.,False,0.0
 ahead., We,True,1.1200000000000045
 We, cannot,False,0.0
 cannot, turn,False,0.0
 turn, back.,False,0.0
 back., There,True,1.1400000000000432
 There, are,False,0.0
 are, those,False,0.0
 those, who,False,0.0
 who, are,False,0.0
 are, asking,False,0.0
 asking, the,False,0.0
 the, deputies,False,0.0
 deputies, of,False,0.0
 of, civil,False,0.0
 civil," rights,",False,0.0
" rights,", when,True,1.1800000000000068
 when, will,False,0.0
 will, you,False,0.0
 you, be,False,0.0
 be, satisfied?,False,0.0
 satisfied?, We,True,1.3600000000001273
 We, can,False,0.0
 can, never,False,0.0
 never, be,False,0.0
 be, satisfied,False,0.0
 satisfied, as,False,0.0
 as, long,False,0.0
 long, as,False,0.0
 as, the,False,0.0
 the, Negro,False,0.0
 Negro, is,False,0.0
 is, the,False,0.0
 the, victim,False,0.0
 victim, of,False,0.0
 of, the,False,0.0
 the, unspeakable,False,0.0
 unspeakable, horrors,False,0.0
 horrors, of,False,0.0
 of, police,False,0.0
 police, brutality.,False,0.0
 brutality., We,True,1.1000000000000227
 We, can,False,0.0
 can, never,False,0.0
 never, be,False,0.0
 be, satisfied.,False,0.0
 satisfied., As,True,1.67999999999995
 As, long,False,0.0
 long, as,False,0.0
 as, our,False,0.0
 our," bodies,",False,0.0
" bodies,", heavy,True,0.16000000000008185
 heavy, with,False,0.0
 with, the,False,0.0
 the, fatigue,False,0.0
 fatigue, of,False,0.0
 of," travel,",False,0.0
" travel,", cannot,True,0.8799999999999955
 cannot, gain,False,0.0
 gain, the,False,0.0
 the, strength,False,0.0
 strength, to,False,0.01999999999998181
 to, remain,False,0.0
 remain, lodging,False,0.0
 lodging, in,False,0.0
 in, the,False,0.0
 the, motels,False,0.0
 motels, or,False,0.0
 or, the,False,0.0
 the, highways,False,0.0
 highways, or,False,0.0
 or, the,False,0.0
 the, hotels,False,0.0
 hotels, of,False,0.0
 of, the,False,0.0
 the, city.,False,0.0
 We, cannot,False,0.0
 cannot, be,False,0.0
 be, satisfied,False,0.0
 satisfied, as,False,0.0
 as, long,False,0.0
 long, as,False,0.0
 as, a,False,0.0
 a, Negro,False,0.0
 Negro, in,False,0.0
 in, Mississippi,False,0.0
 Mississippi, cannot,False,0.0
 cannot, vote,False,0.0
 vote, and,False,0.0
 and, a,False,0.0
 a, Negro,False,0.0
 Negro, in,False,0.0
 in, New,False,0.0
 New, York,False,0.0
 York, believes,False,0.0
 believes, he,False,0.0
 he, has,False,0.0
 has, nothing,False,0.0
 nothing, for,False,0.0
 for, which,False,0.0
 which, to,False,0.0
 to, vote.,False,0.0
 vote., No.,True,7.240000000000009
 No.," No,",True,2.060000000000059
" No,", we,True,0.0
 we, are,False,0.0
 are, not,False,0.0
 not, satisfied,False,0.0
 satisfied, and,False,0.0
 and, we,False,0.0
 we, will,False,0.0
 will, not,False,0.0
 not, be,False,0.0
 be, satisfied,False,0.0
 satisfied, until,False,0.0
 until, justice,False,0.0
 justice, rolls,False,0.0
 rolls, down,False,0.0
 down, like,False,0.0
 like, waters,False,0.0
 waters, and,False,0.0
 and, righteousness,False,0.0
 righteousness, like,False,0.0
 like, a,False,0.0
 a, mighty,False,0.0
 mighty, stream.,False,0.0
 stream., I,True,8.860000000000014
 I, am,False,0.0
 am, not,False,0.0
 not, unmindful,False,0.0
 unmindful, that,False,1.3600000000000136
 that, some,False,0.0
 some, of,False,0.0
 of, you,False,0.0
 you, have,False,0.0
 have, come,False,0.0
 come, here,False,0.0
 here, out,False,1.4600000000000364
 out, of,False,0.0
 of, great,False,0.0
 great, trials,False,0.0
 trials, and,False,0.0
 and, tribulations.,False,0.0
 tribulations., Some,True,2.2999999999999545
 Some, of,False,0.0
 of, you,False,0.0
 you, have,False,0.0
 have, come,False,0.0
 come, fresh,False,0.0
 fresh, from,False,0.0
 from, narrow,False,0.0
 narrow, jail,False,0.0
 jail, cells.,False,0.0
 cells., Some,True,1.6600000000000819
 Some, of,False,0.0
 of, you,False,0.0
 you, have,False,0.0
 have, come,False,0.0
 come, from,False,0.0
 areas, where,False,0.0
 where, your,False,0.0
 your, quest,False,0.0
 quest, for,False,0.0
 for, freedom,False,0.0
 freedom, left,False,1.3600000000000136
 left, you,False,0.0
 you, battered,False,0.0
 battered, by,False,0.0
 by, the,False,0.0
 the, storms,False,0.0
 storms, of,False,0.0
 of, persecution,False,0.0
 persecution, and,False,0.0
 and, staggered,False,0.0
 staggered, by,False,0.0
 by, the,False,0.0
 the, winds,False,0.0
 winds, of,False,0.0
 of, police,False,0.0
 police, brutality.,False,0.0
 brutality., You,True,1.5199999999999818
 You, have,False,0.0
 have, been,False,0.0
 been, the,False,0.0
 the, veterans,False,0.0
 veterans, of,False,0.0
 of, creative,False,0.0
 creative, suffering.,False,0.0
 suffering., Continue,True,1.3999999999999773
 Continue, to,False,0.0
 to, work,False,0.0
 work, with,False,0.0
 with, the,False,0.0
 the, faith,False,0.0
 faith, that,False,1.6000000000000227
 that, unearns,False,0.0
 unearns, the,False,0.0
 the, power,False,0.0
 power, of,False,0.0
 of, the,False,0.0
 the, people.,False,0.0
 people., Suffering,True,0.0
 Suffering, is,False,0.0
 is, redemptive.,False,0.0
 redemptive., Go,True,0.8800000000001091
 Go, back,False,0.0
 back, to,False,0.0
 to, Mississippi.,False,0.0
 Mississippi., Go,True,1.080000000000041
 Go, back,False,0.0
 back, to,False,0.0
 to, Alabama.,False,0.0
 Alabama., Go,True,0.15999999999996817
 Go, back,False,0.0
 back, to,False,0.0
 to, South,False,0.0
 South, Carolina.,False,0.0
 Carolina., Go,True,0.03999999999996362
 Go, back,False,0.0
 back, to,False,0.0
 to, Georgia.,False,0.0
 Georgia., Go,True,0.13999999999998636
 Go, back,False,0.0
 back, to,False,0.0
 to, Louisiana.,False,0.0
 Louisiana., Go,True,0.06000000000005912
 Go, back,False,0.0
 back, to,False,0.0
 to, the,False,0.0
 the, slums,False,0.0
 slums, and,False,0.0
 and, ghettos,False,0.0
 ghettos, of,False,0.0
 of, our,False,0.0
 our, northern,False,0.0
 northern, cities.,False,0.0
 cities., Knowing,True,1.240000000000009
 Knowing, that,False,0.0
 that, somehow,False,0.0
 somehow, this,False,0.0
 this, situation,False,0.0
 situation, can,False,0.0
 can, and,False,0.0
 and, will,False,0.0
 will, be,False,0.0
 be, changed.,False,0.0
 changed., Let,True,0.5600000000000591
 Let, us,False,0.0
 us, not,False,0.0
 not, wallow,False,0.0
 wallow, in,False,0.0
 in, the,False,0.0
 the, valley,False,0.0
 valley, of,False,0.0
 of, despair.,False,0.0
 despair., I,True,1.2000000000000455
 I, say,False,0.0
 say, to,False,0.0
 to, you,False,0.0
 you," today,",False,0.0
" today,", my,True,0.17999999999994998
 my," friend,",False,0.0
" friend,", that,True,3.9600000000000364
 that, this,False,0.0
 this, is,False,0.0
 is, the,False,0.0
 the, state,False,0.0
 state, of,False,0.0
 of, the,False,0.0
 Nós., And,True,1.1000000000000227
 And, so,False,0.0
 so, even,False,0.0
 even, though,False,0.0
 though, we,False,0.0
 we, face,False,0.0
 face, the,False,0.0
 the, difficulties,False,0.0
 difficulties, of,False,0.0
 of, today,False,0.0
 today, and,False,0.0
 and," tomorrow,",False,0.0
" tomorrow,", I,True,0.9799999999999045
 I, still,False,0.0
 still, have,False,0.0
 have, a,False,0.0
